商区名称,评论总和,评论平均数,商铺总和,经度,纬度
云居滑雪场,571.0,12.41304347826087,46,115.78674663043485,39.60441619565216
霞云岭国家森林公园,297.0,2.7757009345794392,107,115.76626254205601,39.78993637383178
华冠天地,304.0,12.666666666666666,24,116.16995912499999,39.77206308333333
后沙峪,65404.0,89.22783083219645,733,116.54195063437935,40.09967321691679
马坡牛栏山,10904.0,14.755074424898512,739,116.66226874289585,40.18128064817319
南彩,3112.0,4.947535771065183,629,116.72704242448329,40.130133241653255
石园,8767.0,12.092413793103448,725,116.6562885903449,40.10308441241376
国展,38361.0,52.76616231086658,727,116.5492889436039,40.068143019257256
顺义,142849.0,196.22115384615384,728,116.64367660576926,40.11855622390102
莲花山滑雪场,77.0,4.277777777777778,18,116.79548,40.14101711111111
尺木无山,15.0,15.0,1,116.823576,40.124784
八达岭镇,0.0,0.0,1,115.977915,40.362087
大榆树镇,44.0,11.0,4,115.98807475000001,40.42515225
大庄科乡,17.0,3.4,5,116.2677606,40.4133102
井庄镇,4.0,1.3333333333333333,3,116.04223766666667,40.48406
旧县镇,33.0,5.5,6,116.05080083333333,40.554869
康庄镇,4.0,1.3333333333333333,3,115.87696833333332,40.380948999999994
刘斌堡乡,1.0,1.0,1,116.26856,40.547715
千家店镇,206.0,14.714285714285714,14,116.37678428571431,40.69798407142857
沈家营镇,0.0,0.0,2,116.04224049999999,40.492412
四海镇,40.0,40.0,1,116.371852,40.544824
香营乡,0.0,0.0,1,116.151902,40.570339
延庆镇,0.0,0.0,2,116.027846,40.4754115
永宁镇,74.0,3.217391304347826,23,116.16481939130435,40.495065913043476
张山营镇,12.0,1.7142857142857142,7,115.86884899999998,40.48817114285714
珍珠泉乡,88.0,14.666666666666666,6,116.43199883333334,40.56126283333334
延庆区其他,84166.0,116.2513812154696,724,116.04643653314916,40.450474085635314
北庄镇,3.0,0.2727272727272727,11,116.87639509090909,40.376186999999994
不老屯镇,5.0,0.8333333333333334,6,116.9539955,40.53720066666667
大城子镇,2.0,0.11764705882352941,17,117.10806894117647,40.40372435294118
东邵渠镇,0.0,0.0,1,116.525154,39.784003
冯家峪镇,0.0,0.0,1,116.818025,40.364938
高岭镇,3.0,1.5,2,117.114209,40.6029165
古北口镇,4.0,0.6666666666666666,6,117.14891633333333,40.68802916666667
河南寨镇,1.0,0.25,4,116.82400000000001,40.329035499999996
巨各庄镇,44.0,6.285714285714286,7,116.96495971428571,40.372560428571425
经济开发区,1.0,0.5,2,116.7888495,40.323535
密云镇,87645.0,118.921302578019,737,116.80312908548179,40.33550792808684
穆家峪镇,33.0,3.6666666666666665,9,116.91882744444446,40.42342677777778
十里堡镇,5008.0,12.304668304668304,407,116.81129756019676,40.36052743734651
石城镇,19.0,1.3571428571428572,14,116.81349585714285,40.56085021428571
太师屯镇,14.0,0.9333333333333333,15,117.12094773333334,40.53614613333333
西田各庄镇,0.0,0.0,3,116.76761566666666,40.376172000000004
溪翁庄镇,9639.0,14.990668740279938,643,116.83388905443236,40.458711009331125
新城子镇,26.0,1.7333333333333334,15,117.364062,40.62531126666668
密云区其他,96241.0,132.19917582417582,728,116.98020722390129,40.462529135989
怀柔区,97050.0,133.67768595041323,726,116.60255157713495,40.32099730303027
门头沟区,68383.0,94.19146005509641,726,116.08952237327823,39.936861030303035
平谷区,36718.0,50.16120218579235,732,117.08165217349726,40.1549879972677
