商区名称,评论总和,评论平均数,商铺总和,经度,纬度
浦江镇,110438.0,227.23868312757202,486,121.50555221193414,31.083947699588467
华漕,42028.0,123.61176470588235,340,121.29761705294118,31.20791770000002
颛桥,35738.0,115.65695792880258,309,121.39914587378642,31.070747203883492
北桥,1941.0,5.391666666666667,360,121.41052581111126,31.042840855555536
吴泾,28212.0,88.71698113207547,318,121.45951937106938,31.041942361635183
交大闵行校区,8981.0,29.254071661237784,307,121.42955736156365,31.022861312703586
好爱广场,22405.0,58.346354166666664,384,121.39994297135406,31.090163815104166
金平路步行街,7471.0,116.734375,64,121.41060215625002,31.01381553125001
虹桥枢纽,160659.0,342.55650319829425,469,121.31605086567168,31.19477749680172
北翟路,473.0,33.785714285714285,14,121.33609957142858,31.229538714285713
世博源,234306.0,1562.04,150,121.49355293333333,31.182111166666655
陆家嘴,826766.0,1266.104134762634,653,121.5074359050538,31.235825973966346
八佰伴,751012.0,1096.3678832116789,685,121.51742825109487,31.22775317226278
世纪公园,409592.0,637.0015552099534,643,121.55328965318837,31.212752572317207
上南地区,367492.0,596.577922077922,616,121.50086744155841,31.176538370129876
外高桥,72132.0,170.92890995260663,422,121.58668837203791,31.333272620853087
金桥,478618.0,747.840625,640,121.59159623593762,31.26199121875002
源深体育中心,115973.0,231.0219123505976,502,121.53944329083666,31.235088697211157
张江,350870.0,582.8405315614618,602,121.6075980880402,31.201516986710974
塘桥,194806.0,384.232741617357,507,121.52285450295854,31.20972481459565
川沙,124852.0,225.36462093862815,554,121.69373252888089,31.189612059566787
三林地区,130810.0,254.0,515,121.50407226796126,31.153803565048516
碧云社区,64327.0,173.38814016172506,371,121.58122376010796,31.239500752021463
金杨地区,190643.0,383.58752515090544,497,121.57059312877264,31.250149639839012
惠南镇,127071.0,250.63313609467457,507,121.74887212623264,31.047123986193277
东明,21928.0,86.67193675889328,253,121.52175726482213,31.146192715415022
浦东机场,47341.0,147.940625,320,121.76814378437514,31.167148165624997
北蔡,99449.0,208.48846960167714,477,121.54724878197065,31.17925087840669
三林镇,101717.0,276.4048913043478,368,121.50871726630442,31.14404033695652
曹路,34176.0,114.68456375838926,298,121.6536910637584,31.26752462416108
新场,13483.0,44.35197368421053,304,121.64347025328954,31.024687098684204
泥城,6858.0,17.017369727047146,403,121.80450434987583,30.9338062183623
南汇新城,25525.0,86.81972789115646,294,121.90770300340134,30.892721799319723
航头,7423.0,31.858369098712448,233,121.59187316738193,31.045381369098745
高行,55625.0,207.55597014925374,268,121.60771310074618,31.29157848507463
迪士尼,114296.0,198.77565217391304,575,121.69619117043477,31.190582954782585
祝桥,6243.0,25.797520661157026,242,121.75523158264461,31.113512466942154
新国际博览中心,3515.0,97.63888888888889,36,121.56272633333336,31.208003555555553
世纪大道,234986.0,517.590308370044,454,121.52655660572661,31.227821213656316
唐镇,20477.0,70.36769759450172,291,121.6475573883161,31.22736280068728
滴水湖临港地区,699.0,6.3545454545454545,110,121.84609163636368,30.957554227272723
御桥,21910.0,87.99196787148594,249,121.56516544578321,31.155796702811273
